"","Year","Gender","Age","Mortality","Population"
"1413","2014","Male","All",3471,2620600
"1414","2014","Male","All",3402,2581100
"1415","2014","Male","All",3385,2505100
"1416","2014","Male","All",3342,2487800
"1417","2014","Male","All",3266,2440200
"1418","2014","Male","All",3160,2428200
"1419","2014","Male","All",3068,2408000
"1420","2014","Male","All",2784,2337200
"1421","2013","Male","All",3974,2525800
"1422","2013","Male","All",3564,2566200
"1423","2013","Male","All",3296,2587100
"1424","2013","Male","All",3451,2553400
"1425","2013","Male","All",3472,2485700
"1426","2013","Male","All",3394,2472100
"1427","2013","Male","All",3292,2426100
"1428","2013","Male","All",3197,2416400
"1429","2013","Male","All",3050,2401000
"1430","2013","Male","All",2789,2332800
"1431","2012","Male","All",3935,2508200
"1432","2012","Male","All",3573,2539000
"1433","2012","Male","All",3369,2559800
"1434","2012","Male","All",3497,2533700
"1435","2012","Male","All",3508,2467400
"1436","2012","Male","All",3279,2455800
"1437","2012","Male","All",3323,2415300
"1438","2012","Male","All",3087,2406300
"1439","2012","Male","All",3083,2394600
"1440","2012","Male","All",2796,2331200
"1441","2011","Male","All",4134,2486900
"1442","2011","Male","All",3514,2511300
"1443","2011","Male","All",3349,2532800
"1444","2011","Male","All",3388,2509400
"1445","2011","Male","All",3376,2449000
"1446","2011","Male","All",3360,2441500
"1447","2011","Male","All",3296,2405500
"1448","2011","Male","All",3156,2398800
"1449","2011","Male","All",3091,2389700
"1450","2011","Male","All",2759,2333000
"1451","2010","Male","All",4046,2461000
"1452","2010","Male","All",3441,2471100
"1453","2010","Male","All",3403,2491300
"1454","2010","Male","All",3443,2476400
"1455","2010","Male","All",3350,2424100
"1456","2010","Male","All",3342,2421200
"1457","2010","Male","All",3353,2394400
"1458","2010","Male","All",3239,2386300
"1459","2010","Male","All",2919,2384000
"1460","2010","Male","All",2863,2333800
"1461","2009","Male","All",4060,2440100
"1462","2009","Male","All",3518,2436100
"1463","2009","Male","All",3458,2452000
"1464","2009","Male","All",3315,2444600
"1465","2009","Male","All",3412,2400700
"1466","2009","Male","All",3392,2404400
"1467","2009","Male","All",3328,2380100
"1468","2009","Male","All",3142,2373100
"1469","2009","Male","All",3084,2378200
"1470","2009","Male","All",2758,2330500
